name,n_trials,sources,p_feasible,time_mean,time_sd,time_p10,time_p50,time_p90,score_mean,score_p10,score_p50,score_p90,p_finish_mean,gm_p10,gm_p50,freeboard_p10,gz_margin_p10,swamp_reserve_p10,warp_p90,twist_p90,tape_spare_p10,board_spare_p10,p_feasible_se,score_p10_se,score_mean_se,time_mean_se,robust_score,crew_posture,crew_x_frac,length,bottom_width,beam,side_height,bow_rocker,chine_frac,n_frames,free_water_lanes,chine_tape_layers,skin_layers,decked_ends,bow_taper,bow_sheer,tape_diag_density,pre_race_soak_min,pacing,source,orig_name
carter_r039413,4000,"build,race,model",0.1245,87.21345999999978,7.062163901250253,78.54000000000151,86.6199999999999,96.45999999999796,44.3604142101516,28.287105960113266,45.15849368321918,59.356723935377715,0.413439400137678,8.159740977663787,9.199470437975972,7.360347758998774,1.220589667495397,40.0,0.029131146374906,3.821737362301507,-0.0136078253749686,0.2593924995248142,0.0052201472680375,0.3504709626540235,0.1857015509823158,0.1116626156868562,28.287105960113266,kneeling_low|kneeling_low,0.28|0.7,87.93408056711577,30.50931004835199,33.8877139091505,12.521790430654027,2.807556572789014,0.4943452867619065,6,2,3,1,True,20.25212897975274,4.564199781705748,0.6195709827372842,2.8930050152111084,even,carter,r039413
mac_r046292,4000,"build,race,model",0.2125,91.69722999999892,7.559951662832465,82.34000000000076,91.159999999999,101.83999999999688,44.90129042724029,28.218737486523477,45.798697043201855,60.164328478458955,0.4377577741515478,9.438394960029688,10.863202584822718,7.051754767445535,1.2740875772549154,40.0,0.0402987357001087,3.4959978349923553,0.0329757503608435,0.2429118184467357,0.0064680706164976,0.350219918577118,0.1880872564435756,0.1195333312766394,28.218737486523477,kneeling_upright|kneeling_upright,0.27|0.75,80.89371324166245,32.591893931445824,36.515697806802606,12.482343844275924,0.068070267162012,0.2133814547151283,8,3,2,1,True,26.678636530767676,3.4407597358435034,0.7571030742587368,7.440017711724694,even,mac,r046292
carter_r013504,4000,"build,race,model",0.45225,73.76290000000243,5.454746681132638,67.0200000000038,73.66000000000248,80.84200000000105,46.4833003915804,28.202739162187612,48.934128765962875,61.172145313786565,0.4587030177970844,12.400605719461716,13.840466962487088,5.016894656637423,1.3386480225110258,5.546875,0.0336164170026074,8.91411940339862,0.021866448286261,0.0085763173137174,0.0078695606214705,0.3533405840088344,0.2044666558653298,0.0862471178581167,28.202739162187612,kneeling_low|kneeling_low,0.31|0.69,110.61874389705518,28.189504566274856,29.400678174952475,9.77642076393797,4.526126639920652,0.2610549157289016,6,1,3,2,True,9.289994269916823,0.7869770021979203,0.3281848626408448,11.5980609935168,even,carter,r013504
pi_r003309,4000,"build,race,model",0.13875,85.80077000000006,6.934162087667506,77.32000000000176,85.22000000000018,94.97999999999824,44.06551332246141,28.175589706924608,45.04143298924696,58.74893509328269,0.4173012018478171,7.507216688250525,8.525613545715737,7.3120383821835135,1.1734304320366002,40.0,0.0329680280644698,5.283398551281397,0.1466384947701142,0.0606395648826984,0.0054657670436087,0.3418774299056146,0.1871025963543228,0.1096387293090874,28.175589706924608,kneeling_low|kneeling_low,0.27|0.75,90.9589945759373,28.7214056900277,31.53468036613723,12.699178625000147,0.698826160736681,0.4675892980036232,9,2,2,2,True,23.48340434195642,3.5344011926204164,0.4872412877709811,11.62943259488076,even,pi,r003309
mac_r017262,4000,"build,race,model",0.63275,84.83751000000026,6.66517549213579,76.92000000000183,84.30000000000037,93.35999999999856,47.878212928549715,28.13472476959183,50.86799216430333,61.91519187218417,0.4986241963833265,6.744345619305782,7.557638303030402,9.974897176756222,1.4737357105356523,40.0,0.0599917131565235,5.07858012202659,0.0919947132189948,0.185166321199748,0.0076219655847425,0.3357465126810069,0.2098311580756452,0.1053856777994139,28.13472476959183,back_on_heels|back_on_heels,0.27|0.75,99.0063455077565,23.06677799264892,30.976507481092284,15.594894734465788,3.351817344019616,0.7840682022449175,6,2,2,1,True,1.2098850193913866,2.7928320751422246,0.6145027274175385,4.1560975118378565,even,mac,r017262
carter_r009739,4000,"build,race,model",0.241,93.54248499999854,7.6239272420059025,84.30000000000037,93.25999999999858,102.97999999999664,44.61959519119949,28.117059524608624,46.28819965273712,58.23924889426413,0.438596709165103,6.173161187638189,6.994774184105873,10.36033615072499,1.2871932193971958,40.0,0.0456276467639884,5.273507720784555,0.1580564307447171,0.212361486002236,0.0067623775404808,0.3176638533174449,0.1794830412055152,0.1205448740007219,28.117059524608624,kneeling_low|kneeling_low,0.27|0.75,84.14626451447778,26.82116746435303,36.68290571552119,15.815463985523053,1.6550534015158265,0.8627526625636868,7,2,3,1,True,5.945019078882563,4.5517939742911055,0.2259610348133106,8.929097755294965,even,carter,r009739
mac_r054248,4000,"build,race,model",0.2535,87.2587099999998,7.12680969228008,78.42000000000154,86.58999999999992,96.48199999999794,41.99023327134602,28.112059744506244,42.47848814012645,55.15414692485423,0.4050331247055012,8.814094055536643,9.81365848786682,7.063239549987443,1.541784571900361,40.0,0.0208903180483554,3.83990576358892,0.0474397188535522,0.0575931442665076,0.0068781856255847,0.2976013974432212,0.1607280499737693,0.1126847553908439,28.112059744506244,kneeling_low|kneeling_low,0.24|0.78,88.62081839653736,31.83815301924784,36.85893645559026,12.463554543035816,2.613029320989408,0.756891527639725,6,3,1,2,True,31.330782332309862,1.9301236148038037,0.2727145296044104,11.61572126241082,even,mac,r054248
pi_r057161,4000,"build,race,model",0.163,80.25544500000117,6.321240501066799,72.64000000000269,79.74000000000127,88.76199999999947,46.56652026252182,28.092774818333883,48.42553435662711,61.55588418009111,0.4366708408668567,7.024719266786809,7.9683650357629565,9.667038633200294,1.1428744864648346,40.0,0.0326095986634817,7.143595686751013,0.1554068850636643,0.1536777519326396,0.0058401840724415,0.3431547683643333,0.1995205621764519,0.0999475881053755,28.092774818333883,kneeling_upright|kneeling_upright,0.28|0.7,97.32287321420114,29.214574169347294,36.647624309152576,14.837691152747237,2.432992799944812,0.8879955588193664,7,3,1,1,True,24.158115670290353,1.2643306070646363,0.3409310089311512,5.025799313870317,even,pi,r057161
mac_r036906,4000,"build,race,model",0.234,76.78747500000185,5.578922003133042,69.91800000000323,76.42000000000193,84.16200000000039,48.035547774832565,28.03135716506933,51.16433731820412,61.97631105259377,0.4743716403834909,8.833116088130199,10.040482523272354,7.742733028644149,1.1290770479135317,4.765625,0.0518414497352908,7.80191864223664,-0.0073143953145771,0.2239045784426828,0.0066941018815073,0.3221457320759651,0.2119113506082626,0.0882105020916472,28.03135716506933,back_on_heels|back_on_heels,0.3|0.72,108.10548242175372,25.65536820091237,28.16400952028161,13.097096424631534,4.295125144626816,0.2806444969299639,7,1,2,1,True,25.32876845224655,0.2657012632421918,0.4270529544480442,10.432888100625991,even,mac,r036906
carter_r020916,4000,"build,race,model",0.71225,76.25207500000197,5.7601647518846315,69.19800000000338,75.88000000000204,83.94200000000043,51.78094642901006,28.018165330624363,55.446943657202475,67.73049195359549,0.4912807634242539,11.151985433891875,12.389042656557727,6.021718953239466,1.565127973277015,40.0,0.0404168324090515,7.498602587894291,0.089684008931611,0.2108784867744595,0.0071580363490974,0.3839195885996093,0.234408108464264,0.0910762015688705,28.018165330624363,back_on_heels|back_on_heels,0.31|0.69,106.48485028876703,27.98600470581473,29.843072879209892,11.61555581895239,3.983010384259949,0.2662324932497589,5,2,2,1,True,28.46267158939206,0.6356685584940676,0.4296213207800875,1.280011488730206,even,carter,r020916
